POWER8- arquivo_teste,cpu-cycles,instructions,cache-references,cache-misses,branches,branch-misses,time elapsed
teste0,78946432726,5458179955,4733442229,382349112286,1373246530365,2260672390689,108.766675143
teste1,78885977523,5449674565,4734846016,382321523171,1371670943197,2261516258266,109.248352803
teste2,78949141237,5436116973,4737993169,382201531797,1363938621910,2259692449109,108.324899556
teste3,79137073194,5458601150,4741783859,382684394986,1378788756704,2261671616395,108.603576022
teste4,79019635345,5439601268,4762088936,382435329470,1368945997732,2260709061032,108.980601451
teste5,79155171221,5446887660,4758428290,382240938602,1370853290740,2261305341370,108.523557866
teste6,78932365809,5443934670,4754055460,382038959611,1362634412747,2259658911372,107.770755961
teste7,79476784162,5485160684,4761761174,382807000492,1395729709723,2263046252138,109.822631933
teste8,79099982743,5466387288,4745779704,382410042966,1377084968711,2261853023150,108.985011364
teste9,79112889789,5459073698,4736935253,382211940530,1373385469746,2260482165292,108.453728492
